取引No,会計日,会計時間,合計,小計,内消費税,現金,Pontaポイント(Airウォレット),クレジットカード(Airペイ),電子マネー(Airペイ),ポイント(POICHI for Airレジ),クレジットカード(Square),モバイル決済(モバイル決済 for Airレジ),金券合計,売掛合計,おつり,現金以外おつり不支払額,割引/割増,人数,商品点数,滞在時間,伝票名,レジID,レジ担当者名,カテゴリ名,メニュー名,種別１,種別２,価格,注文数量,割引/割増数量,割引/割増単価,単位,割引/割増合計額,ID,リソース名
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"揚げ物・煮物","げそ磯辺揚","","",650,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","生ビール","","",500,2,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり180","","",180,2,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","にぎり350","","",350,2,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"汁物","岩のり汁","","",280,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お好みにぎり","細巻450","","",450,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","貝三種にぎり","","",750,2,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"にぎり","イカ三種にぎり","","",400,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"ビール","お通し","","",380,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",1000,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",780,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",600,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403234248000,,,,,,,,,,,,,,,,,,,,,,,,"お造り","本日のお造り","","",500,1,0,0,-,0,C540F80C90B84531AFEC042378CC4096,
RB0120170403233215000,2017/04/04,01:56:18,7850,7340,581,0,0,0,0,0,0,0,0,7850,0,0,-6,1,14,02:24:03,"カウンター4",0002,"周","お好みにぎり","にぎり180","","",180,1,0,0,-,0,225016CBE4784EBFAE8185DE48D776DF,"未設定"
